,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
121,1595383581968409,143000008887,377,19836,24591
122,1595383582969714,143001010192,16,19588,24591
123,1595383583970754,143002011233,-89,19488,24583
124,1595383584971815,143003012294,-298,19252,24583
125,1595383585972858,143004013336,546,20007,24583
126,1595383586973374,143005013852,499,20124,24618
127,1595383587973977,143006014456,-99,19675,24618
128,1595383588974959,143007015437,-1256,18489,24618
129,1595383589976232,143008016710,-133,19235,24618
130,1595383590977333,143009017812,9,19337,24618
131,1595383591978357,143010018835,502,19833,24704
132,1595383592979085,143011019563,681,20162,24704
133,1595383593980001,143012020479,-264,19422,24704
134,1595383594981006,143013021484,-219,19387,24901
135,1595383595981852,143014022330,-884,18657,24914
136,1595383596982576,143015023054,252,19527,24914
137,1595383597983714,143016024192,118,19469,24901
138,1595383598984759,143017025237,588,19974,24901
139,1595383599985844,143018026322,450,20013,24914
140,1595383600986803,143019027281,-115,19583,24972
141,1595383601987886,143020028364,-81,19582,24972
142,1595383602988415,143021028893,-669,18970,25003
143,1595383603989576,143022030054,-92,19346,25003
144,1595383604990082,143023030560,84,19495,25003
145,1595383605990782,143024031260,643,20079,25003
146,1595383606991919,143025032397,-788,18841,25030
147,1595383607992972,143026033450,-151,19241,24937
148,1595383608993962,143027034440,62,19409,24937
149,1595383609995323,143028035801,1247,20613,24819
150,1595383610995801,143029036279,-860,18880,24819
151,1595383611996892,143030037370,168,19650,24738
152,1595383612997910,143031038389,263,19795,24738
153,1595383613999189,143032039667,-455,19156,24926
154,1595383615000116,143033040594,-662,18813,24926
155,1595383616001224,143034041702,308,19584,24926
156,1595383617002314,143035042792,18,19386,25050
157,1595383618003447,143036043925,149,19523,25050
158,1595383619004448,143037044926,86,19505,25050
159,1595383620005513,143038045991,762,20206,24957
160,1595383621006714,143039047193,-133,19540,24957
161,1595383622007904,143040048382,-888,18745,24917
162,1595383623008903,143041049381,-95,19272,24917
163,1595383624009978,143042050456,172,19510,24882
164,1595383625011056,143043051535,166,19556,24882
165,1595383626012332,143044052811,413,19853,24831
166,1595383627013346,143045053824,-152,19411,24831
167,1595383628014387,143046054865,595,20113,24831
168,1595383629015488,143047055966,-602,19094,24831
169,1595383630016550,143048057028,-642,18874,24831
170,1595383631017859,143049058337,57,19380,24797
171,1595383632018904,143050059382,144,19484,24797
172,1595383633020418,143051060896,376,19759,24775
173,1595383634021350,143052061829,387,19883,24797
174,1595383635022327,143053062806,-173,19439,24797
175,1595383636023322,143054063801,114,19674,24797
176,1595383637024354,143055064832,-82,19513,24837
177,1595383638025504,143056065982,70,19640,24837
178,1595383639026542,143057067020,-22,19569,24827
179,1595383640027654,143058068132,-147,19437,24827
180,1595383641028869,143059069347,-513,19027,24827
181,1595383642029952,143060070430,210,19596,24810
182,1595383643031004,143061071482,48,19497,24810
183,1595383644032256,143062072734,-175,19289,24810
184,1595383645033105,143063073583,111,19522,24822
185,1595383646034326,143064074804,720,20165,24765
186,1595383647035476,143065075955,-157,19504,24765
187,1595383648036240,143066076718,88,19702,24761
188,1595383649037313,143067077791,348,19988,24773
189,1595383650038361,143068078839,-813,18931,24773
190,1595383651039395,143069079874,100,19600,24773
191,1595383652040461,143070080939,-414,19116,24714
192,1595383653041546,143071082024,846,20252,24696
193,1595383654042671,143072083149,-916,18744,24696
194,1595383655043850,143073084328,661,20046,24596
195,1595383656044433,143074084912,-863,18721,24596
196,1595383657045544,143075086022,-25,19300,24571
197,1595383658046568,143076087046,627,19944,24596
198,1595383659047294,143077087772,-339,19166,24670
199,1595383660048389,143078088868,662,20066,24571
200,1595383661049406,143079089885,-693,18909,24571
201,1595383662050533,143080091011,260,19654,24571
202,1595383663051611,143081092090,-534,18938,24571
203,1595383664052644,143082093122,174,19486,24611
204,1595383665053940,143083094419,139,19503,24675
205,1595383666054891,143084095369,417,19823,24684
206,1595383667055988,143085096466,835,20366,24705
207,1595383668057028,143086097506,-561,19221,24705
208,1595383669058165,143087098643,-521,19092,24705
209,1595383670059265,143088099744,-285,19172,24705
210,1595383671060309,143089100787,109,19480,24705
211,1595383672061387,143090101865,-122,19282,24757
212,1595383673061877,143091102356,473,19841,24764
213,1595383674063015,143092103493,465,19974,24764
214,1595383675064084,143093104562,-789,18860,24874
215,1595383676065116,143094105595,-158,19254,24859
216,1595383677066269,143095106747,543,19908,24794
217,1595383678067335,143096107813,-183,19345,24859
218,1595383679068445,143097108923,643,20116,24859
219,1595383680069447,143098109925,-127,19539,24966
