,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
0,1595384939213303,144357253782,-463383,20296,24813
1,1595384940214432,144358254910,-463583,20096,24852
2,1595384941214901,144359255379,-819,19277,24852
3,1595384942216036,144360256514,-750,19100,24852
4,1595384943216513,144361256991,-6788,12837,24813
5,1595384944217761,144362258239,7625,25214,24629
6,1595384945218253,144363258732,1709,21586,24892
7,1595384946219353,144364259831,-294,20095,24892
8,1595384947219909,144365260387,-395,19906,24892
9,1595384948221050,144366261529,-428,19755,24927
10,1595384949221509,144367261987,-7104,12950,24927
11,1595384950222784,144368263262,6404,24327,24919
12,1595384951223228,144369263706,1809,21653,25091
13,1595384952224374,144370264853,-188,20199,25091
14,1595384953224853,144371265331,-1043,19287,25091
15,1595384954226000,144372266478,-48,19970,25091
16,1595384955226468,144373266947,24,20027,24933
17,1595384956227800,144374268278,-7083,12927,24933
18,1595384957228032,144375268510,5909,23794,24889
19,1595384958229158,144376269637,2104,21762,24889
20,1595384959229585,144377270063,1197,21486,24889
21,1595384960230726,144378271204,-1233,19415,25074
22,1595384961231168,144379271647,-1145,19134,25074
23,1595384962232252,144380272730,-447,19488,25074
24,1595384963232699,144381273177,282,20083,25074
25,1595384964233803,144382274281,-778,19108,24960
26,1595384965234289,144383274767,633,20285,24960
27,1595384966235443,144384275921,-191,19651,24933
28,1595384967235923,144385276401,-255,19530,24933
29,1595384968237046,144386277524,-30,19678,24933
30,1595384969237515,144387277993,46,19745,24940
31,1595384970238810,144388279288,-217,19496,24940
32,1595384971239067,144389279550,538,20186,24940
33,1595384972240175,144390280653,681,20490,24940
34,1595384973240611,144391281089,-217,19797,24940
35,1595384974241879,144392282358,-627,19322,24940
36,1595384975242346,144393282824,-193,19567,24940
37,1595384976243490,144394283968,231,19934,24940
38,1595384977243956,144395284434,5,19777,24940
39,1595384978245111,144396285589,-131,19642,24940
40,1595384979245508,144397285986,-63,19671,24910
41,1595384980246333,144398286811,981,20696,24910
42,1595384981246758,144399287237,-864,19145,24910
43,1595384982247809,144400288287,420,20170,24774
44,1595384983248316,144401288795,-451,19425,24774
45,1595384984249413,144402289891,-475,19266,24911
46,1595384985249822,144403290300,323,19921,24875
47,1595384986250921,144404291399,230,19925,24875
48,1595384987251441,144405291919,243,20007,24862
49,1595384988252556,144406293034,403,20240,24847
