,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
0,1595382242981732,141661022210,453555,18824,21453
1,1595382243982326,141662022804,446413,11682,22958
2,1595382244983260,141663023738,14285,25967,22958
3,1595382245983899,141664024377,-706,15261,24463
4,1595382246984828,141665025306,10543,26298,24463
5,1595382247985274,141666025752,-19906,-988,25792
6,1595382248986380,141667026858,23321,36268,25792
7,1595382249986880,141668027359,-6305,13638,27121
8,1595382250987923,141669028401,12297,30348,25792
9,1595382251988533,141670029011,1042,22782,25792
10,1595382252989488,141671029966,-930,21123,24920
11,1595382253989955,141672030433,-8679,13095,25162
12,1595382254991068,141673031546,4623,23793,24920
13,1595382255991493,141674031971,-10814,9743,24920
14,1595382256992748,141675033226,11198,28511,24691
15,1595382257993216,141676033694,-4789,15883,24691
16,1595382258994433,141677034912,8095,27331,22928
17,1595382259994976,141678035454,-7156,14508,22928
18,1595382260995924,141679036402,5287,24804,22928
19,1595382261996396,141680036874,-6290,14814,22928
20,1595382262997561,141681038039,7120,26337,20654
21,1595382263997893,141682038372,-5989,15364,20654
22,1595382264999097,141683039575,4538,24094,20926
23,1595382265999645,141684040124,-6873,14044,20926
24,1595382267000565,141685041043,5779,24634,20926
25,1595382268001043,141686041522,-9762,10827,25107
26,1595382269002154,141687042632,5452,23112,25107
27,1595382270002699,141688043177,-4962,14334,25385
28,1595382271003831,141689044310,6488,24295,25081
29,1595382272004183,141690044661,-4729,15025,25532
30,1595382273005352,141691045830,6816,25151,25532
31,1595382274005933,141692046411,-5858,14522,25989
32,1595382275007142,141693047620,5505,24128,25989
33,1595382276007562,141694048041,-5946,14328,25989
34,1595382277008846,141695049324,7465,25955,25583
35,1595382278009283,141696049761,-43,20687,25583
36,1595382279010340,141697050819,-900,19817,25583
37,1595382280010973,141698051451,-1170,19277,25445
38,1595382281011905,141699052383,-293,19803,25195
39,1595382282012273,141700052752,-7113,12895,24847
