,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
121,1595404939885373,164357925851,-101,19222,25169
122,1595404940886395,164358926873,755,20048,25091
123,1595404941887681,164359928160,-782,18737,25169
124,1595404942888744,164360929222,-21,19263,25071
125,1595404943889785,164361930263,144,19422,25071
126,1595404944890866,164362931344,535,19856,25071
127,1595404945891912,164363932390,-48,19434,25071
128,1595404946893267,164364933745,543,20010,24916
129,1595404947894226,164365934704,566,20196,24917
130,1595404948895313,164366935791,-857,18943,25071
131,1595404949896389,164367936867,580,20123,25071
132,1595404950897268,164368937746,-517,19200,25136
133,1595404951898286,164369938764,-720,18842,25136
134,1595404952899343,164370939821,-393,18953,25136
135,1595404953900639,164371941117,1067,20295,25129
136,1595404954901743,164372942221,161,19709,25129
137,1595404955902753,164373943232,-855,18741,25155
138,1595404956903833,164374944311,-7,19333,25155
139,1595404957904965,164375945443,149,19487,25107
140,1595404958906151,164376946630,457,19840,25023
141,1595404959906628,164377947106,-21,19499,25023
142,1595404960907753,164378948231,-26,19487,25023
143,1595404961908811,164379949289,482,19988,24901
144,1595404962909883,164380950361,132,19782,24901
145,1595404963910908,164381951387,-76,19614,24846
146,1595404964912244,164382952722,320,19987,24846
147,1595404965913274,164383953752,-776,18987,24934
148,1595404966913803,164384954281,-7076,12454,24934
149,1595404967914345,164385954823,6986,24393,24934
150,1595404968914855,164386955333,2183,21686,24934
151,1595404969915379,164387955857,562,20720,24934
152,1595404970915913,164388956391,-795,19532,25115
153,1595404971916954,164389957432,-2345,17743,25260
154,1595404972918272,164390958750,-70,19315,25260
155,1595404973919290,164391959768,-237,19127,25206
156,1595404974920422,164392960901,923,20216,25206
157,1595404975921434,164393961913,-1031,18538,25260
158,1595404976922561,164394963040,1074,20334,25206
159,1595404977923100,164395963578,-576,19006,25206
160,1595404978924171,164396964650,238,19648,25063
161,1595404979925222,164397965700,119,19600,24774
162,1595404980926314,164398966793,27,19544,24774
163,1595404981927363,164399967842,-84,19441,24774
